Date,Team,Player,Body Part
10/26/2010,Lakers,Luke Walton,Right Hamstring
11/11/2010,Lakers,Theo Ratliff,Left Knee
2/1/2011,Lakers,Andrew Bynum,Left Knee
3/4/2011,Lakers,Devin Ebanks,Left Shin
4/12/2011,Lakers,Andrew Bynum,Right Knee
4/13/2011,Lakers,Matt Barnes,Right Knee
12/25/2011,Lakers,Derrick Caracter,Left Knee
12/27/2011,Lakers,Matt Barnes,Right Hip
3/27/2012,Lakers,Jordan Hill,Right Knee
4/3/2012,Lakers,Andrew Bynum,Left Ankle
4/9/2012,Lakers,Kobe Bryant,Left Shin
4/26/2012,Lakers,Matt Barnes,Right Ankle
10/30/2012,Lakers,Earl Clark,Left Groin
11/2/2012,Lakers,Steve Nash,Left Leg
12/4/2012,Lakers,Pau Gasol,Right Knee 
12/16/2012,Lakers,Jordan Hill,Back
1/8/2013,Lakers,Dwight Howard,Right Shoulder
1/9/2013,Lakers,Jordan Hill,Left Hip
1/23/2013,Lakers,Jordan Hill,Left Hip
2/6/2013,Lakers,Pau Gasol,Right Foot
2/7/2013,Lakers,Pau Gasol,Right Foot
3/17/2013,Lakers,Kobe Bryant,Left Ankle
3/28/2013,Lakers,Ron Artest,Left Knee
4/2/2013,Lakers,Steve Nash,Right Hamstring
4/13/2013,Lakers,Kobe Bryant,Left Achilles
4/24/2013,Lakers,Jodie Meeks,Left Ankle
4/26/2013,Lakers,Steve Blake,Right Hamstring
12/2/2013,Lakers,Jordan Farmar,Left Hamstring
12/12/2013,Lakers,Steve Blake,Right Elbow
12/30/2013,Lakers,Xavier Henry,Right Knee
2/1/2014,Lakers,Pau Gasol,Right Groin
2/4/2014,Lakers,Xavier Henry,Right Knee
2/5/2014,Lakers,Jodie Meeks,Right Ankle
2/5/2014,Lakers,Jordan Hill,Neck
2/9/2014,Lakers,Jordan Farmar,Left Hamstring
3/19/2014,Lakers,Jordan Farmar,Right Groin
3/21/2014,Lakers,Chris Kaman,Right Foot
3/21/2014,Lakers,Jordan Farmar,Right Groin
3/23/2014,Lakers,Xavier Henry,Left Wrist
4/2/2014,Lakers,Chris Kaman,Right Calf
4/2/2014,Lakers,Steve Nash,Left Ankle
4/5/2014,Lakers,Steve Nash,Back
4/7/2014,Lakers,Kent Bazemore,Right Foot
10/28/2014,Lakers,Julius Randle,Right Leg
10/28/2014,Lakers,Nick Young,Right Thumb
10/28/2014,Lakers,Wayne Ellington,Right Shoulder
11/17/2014,Lakers,Ryan Kelly,Right Hamstring
11/23/2014,Lakers,Carlos Boozer,Left Shoulder
11/24/2014,Lakers,Xavier Henry,Left Achilles
1/5/2015,Lakers,Wes Johnson,Right Hip
1/16/2015,Lakers,Ronnie Price,Nose
1/22/2015,Lakers,Kobe Bryant,Right Shoulder
1/27/2015,Lakers,Nick Young,Right Ankle
2/4/2015,Lakers,Jordan Hill,Left Hip
2/6/2015,Lakers,Ronnie Price,Right Elbow
2/25/2015,Lakers,Nick Young,Left Knee
4/8/2015,Lakers,Jeremy Lin,Right Knee
4/13/2015,Lakers,Wes Johnson,Left Ankle
4/15/2015,Lakers,Jordan Clarkson,Left Ankle
10/28/2015,Lakers,Larry Nance Jr.,Right Knee
11/3/2015,Lakers,Larry Nance Jr.,Nose
12/11/2015,Lakers,Jordan Clarkson,Right Ankle
12/19/2015,Lakers,Kobe Bryant,Right Shoulder
12/23/2015,Lakers,Julius Randle,Left Ankle
12/25/2015,Lakers,Ryan Kelly,Neck
1/1/2016,Lakers,Kobe Bryant,Right Shoulder
1/8/2016,Lakers,D'Angelo Russell,Right Ankle
1/9/2016,Lakers,Brandon Bass,Right Eye
1/10/2016,Lakers,Kobe Bryant,Right Achilles
2/8/2016,Lakers,Roy Hibbert,Left Ankle
2/9/2016,Lakers,Anthony Brown,Right Ankle
3/2/2016,Lakers,Lou Williams,Left Hamstring
3/4/2016,Lakers,Jordan Clarkson,Right Knee
3/5/2016,Lakers,Anthony Brown,Right Foot
3/15/2016,Lakers,Brandon Bass,Right Eye
3/22/2016,Lakers,Ryan Kelly,Left Wrist
10/26/2016,Lakers,Jose Calderon,Left Calf
11/2/2016,Lakers,Timofey Mozgov,Eye
11/18/2016,Lakers,D'Angelo Russell,Left Knee
11/18/2016,Lakers,Ivica Zubac,Right Ankle
11/21/2016,Lakers,D'Angelo Russell,Left Knee
